iter	Logloss
0	0.6900187323
1	0.6874437987
2	0.6850479521
3	0.6825830534
4	0.6802728861
5	0.6779445794
6	0.6757939179
7	0.6730649522
8	0.6706500463
9	0.668341816
10	0.6665132719
11	0.6642517434
12	0.6616971084
13	0.6593099028
14	0.6572471982
15	0.6549243928
16	0.6528183679
17	0.6509844669
18	0.6490797216
19	0.6470288559
20	0.6455137458
21	0.6434429538
22	0.641016354
23	0.6394877439
24	0.6381049028
25	0.6360464725
26	0.6339665042
27	0.6319798482
28	0.6309750484
29	0.6290977705
30	0.6272760871
31	0.6257703161
32	0.6237460185
33	0.6216020407
34	0.6196620592
35	0.617941944
36	0.6162733217
37	0.6150272211
38	0.6132282864
39	0.6117053015
40	0.6098657049
41	0.6076206231
42	0.6054950841
43	0.603638404
44	0.601935291
45	0.5997329989
46	0.5980245166
47	0.5967095945
48	0.5950481763
49	0.5935300542
50	0.5921334615
51	0.5908040957
52	0.5895043212
53	0.5884292089
54	0.5862461344
55	0.5848958119
56	0.5829871808
57	0.5811115525
58	0.5794594191
59	0.5780073908
60	0.5767414895
61	0.5755898369
62	0.5742956427
63	0.5729754065
64	0.5712575143
65	0.5698941531
66	0.5681587571
67	0.5669339682
68	0.565643723
69	0.5642538343
70	0.5630768499
71	0.5612164149
72	0.5597161445
73	0.5580378797
74	0.5569104472
75	0.5553244399
76	0.5542202907
77	0.5525380399
78	0.5511259511
79	0.5499300705
80	0.5486470323
81	0.5472005977
82	0.5457370968
83	0.5445293602
84	0.5433987542
85	0.5414878435
86	0.5397957321
87	0.5385319099
88	0.5371191119
89	0.5362766485
90	0.5349121889
91	0.5338363436
92	0.5320326458
93	0.5307309614
94	0.5295785624
95	0.5285942182
96	0.5270961724
97	0.5258484896
98	0.5243588096
99	0.523357098
100	0.5220014728
101	0.5207178535
102	0.5192337067
103	0.5179550449
104	0.5167577118
105	0.5154359952
106	0.514397668
107	0.5132301275
108	0.5120857883
109	0.510536791
110	0.5090524283
111	0.5076767889
112	0.5063618872
113	0.5051451849
114	0.5039613389
115	0.502732723
116	0.5017433449
117	0.5006373503
118	0.4997116069
119	0.4986232357
120	0.4972472006
121	0.4962519931
122	0.4954261102
123	0.494047142
124	0.4930463655
125	0.4917482611
126	0.4903680614
127	0.4893598409
128	0.4881365201
129	0.486986905
130	0.4858515245
131	0.4846274692
132	0.483821038
133	0.4826237106
134	0.4815792438
135	0.480381622
136	0.4793219921
137	0.4784143627
138	0.4772580742
139	0.4762083916
140	0.4754803523
141	0.4745674923
142	0.4737457863
143	0.4727728276
144	0.4720590377
145	0.471038
146	0.4704044341
147	0.4697814965
148	0.4686860268
149	0.4675859543
150	0.4665990909
151	0.4657806488
152	0.4648557967
153	0.4638454099
154	0.4624853394
155	0.4614495346
156	0.4607718599
157	0.4597200041
158	0.4586814422
159	0.4575591342
160	0.456681671
161	0.4557052652
162	0.4548836815
163	0.4536957294
164	0.4528505058
165	0.4522927046
166	0.451513157
167	0.4502482513
168	0.4489843625
169	0.4479777059
170	0.4470913255
171	0.4462132014
172	0.4452395452
173	0.4445885734
174	0.4437653187
175	0.4428883358
176	0.4418446093
177	0.4411015
178	0.4395944185
179	0.4388352187
180	0.4381596026
181	0.4373730252
182	0.4365105348
183	0.4356031667
184	0.4344918497
185	0.433464401
186	0.4326443092
187	0.4319998043
188	0.4310036992
189	0.4301661648
190	0.4291718869
191	0.4284459516
192	0.4275922033
193	0.4266377354
194	0.4256894297
195	0.4248504072
196	0.4238823678
197	0.4227416182
198	0.4218049044
199	0.4207192825
200	0.4198304726
201	0.4191956498
202	0.4183913163
203	0.4177875742
204	0.4168474232
205	0.4158364805
206	0.4146944464
207	0.4138219492
208	0.4124928649
209	0.4118228113
210	0.4108355143
211	0.4098922064
212	0.4091208566
213	0.4080650218
214	0.4074317331
215	0.4067790729
216	0.4056173398
217	0.4049015835
218	0.4038720451
219	0.4031129459
220	0.4021827964
221	0.4011150326
222	0.4000957504
223	0.3992137901
224	0.398570039
225	0.3978924831
226	0.3970326484
227	0.3962760838
228	0.3954905594
229	0.3948087307
230	0.3940926912
231	0.3931136033
232	0.3924283697
233	0.3916586038
234	0.3907961497
235	0.3897952474
236	0.388565792
237	0.3875176054
238	0.3867018818
239	0.3856696398
240	0.384705069
241	0.3838521574
242	0.3830593858
243	0.3823091282
244	0.3816604224
245	0.3812899692
246	0.3804097194
247	0.379394326
248	0.3785007557
249	0.3775397328
250	0.3764999492
251	0.3757268431
252	0.3750362236
253	0.3741227776
254	0.3731782949
255	0.3723805446
256	0.3712791226
257	0.3706441527
258	0.3696944189
259	0.3687544671
260	0.3680401761
261	0.3672922306
262	0.3660947163
263	0.3652472671
264	0.3643745114
265	0.3638664503
266	0.3629960792
267	0.3623312997
268	0.3612560129
269	0.3603108713
270	0.3597989547
271	0.3592708459
272	0.3582006191
273	0.3573525594
274	0.356619043
275	0.3558737918
276	0.3548916773
277	0.3540095622
278	0.3532941786
279	0.3523446242
280	0.3519546317
281	0.3508250575
282	0.3500859188
283	0.3492157825
284	0.3483157248
285	0.3476493303
286	0.3468052486
287	0.3459952583
288	0.3452153889
289	0.3443559424
290	0.3435949053
291	0.3428102883
292	0.3419185009
293	0.3413057058
294	0.3404517414
295	0.339424005
296	0.338803532
297	0.3380840792
298	0.3372502997
299	0.3363987308
300	0.3358824199
301	0.3350585784
302	0.3340526558
303	0.3330506228
304	0.3322215254
305	0.3312732176
306	0.3302019862
307	0.3296031117
308	0.3289705443
309	0.3281824516
310	0.3272349849
311	0.3262097828
312	0.325489665
313	0.3243968315
314	0.3236938807
315	0.3229356748
