date_start,pnl
2022-03-02 00:00:00,4562674.237773467
2022-03-03 00:00:00,-4663724.751894248
2022-03-04 00:00:00,-484527.6228265166
2022-03-09 00:00:00,1268498.4635499557
2022-03-10 00:00:00,-2874466.184608032
2022-03-11 00:00:00,-3885262.149765398
2022-03-14 00:00:00,-2636291.818807214
2022-03-15 00:00:00,-2623144.4089718093
2022-03-16 00:00:00,-2210490.507369832
2022-03-17 00:00:00,-537390.4529353956
2022-03-18 00:00:00,374265.0241540712
2022-03-21 00:00:00,-4957329.970315649
2022-03-22 00:00:00,-4363773.149794315
2022-03-23 00:00:00,-4319710.186700105
2022-03-24 00:00:00,-3332591.5333619015
2022-03-25 00:00:00,-5950118.337240176
2022-03-28 00:00:00,-5907224.854073336
2022-03-29 00:00:00,-2616205.879211701
2022-03-30 00:00:00,-686164.1275948731
2022-03-31 00:00:00,-181541.90400056762
2022-04-01 00:00:00,121422.63943321278
2022-04-04 00:00:00,-4414211.960653895
2022-04-05 00:00:00,-4149720.688410556
2022-04-06 00:00:00,-4025960.6096229968
2022-04-07 00:00:00,3902882.5664044796
2022-04-08 00:00:00,1965946.148053871
2022-04-11 00:00:00,225679.29274801718
2022-04-12 00:00:00,-198127.33887925142
2022-04-13 00:00:00,-127406.89063733621
2022-04-14 00:00:00,-983994.9525568949
2022-04-15 00:00:00,-612277.9909024419
2022-04-18 00:00:00,-1907267.4616555653
2022-04-19 00:00:00,-2084930.7556049826
2022-04-20 00:00:00,-1477511.267324595
2022-04-21 00:00:00,-1635644.1294194858
2022-04-22 00:00:00,-741041.3178204317
2022-04-25 00:00:00,-1291482.9324691256
2022-04-26 00:00:00,-1182154.6494162383
2022-04-27 00:00:00,-1185115.5582127252
2022-04-28 00:00:00,-815977.2478137121
2022-04-29 00:00:00,-404254.421174638
2022-05-04 00:00:00,-798798.2567473932
2022-05-05 00:00:00,1768212.923455407
2022-05-06 00:00:00,1467039.2396742776
2022-05-11 00:00:00,-3045583.578356938
2022-05-12 00:00:00,-1039369.6185715845
2022-05-13 00:00:00,138439.0350410634
2022-05-16 00:00:00,-1644036.1472202167
2022-05-17 00:00:00,-1654852.2461260944
2022-05-18 00:00:00,-1660138.522687986
2022-05-19 00:00:00,-2558943.051777791
2022-05-20 00:00:00,-1610657.7112839944
2022-05-23 00:00:00,6651621.571237564
2022-05-24 00:00:00,7743492.496485292
2022-05-25 00:00:00,8616166.40680305
2022-05-26 00:00:00,4049343.1580458214
2022-05-27 00:00:00,-145777.4305557683
2022-06-06 00:00:00,-1347661.950036991
2022-06-07 00:00:00,-2151773.7064238572
2022-06-08 00:00:00,-1742294.7704736849
2022-06-09 00:00:00,-1262146.6919467
2022-06-10 00:00:00,-1475123.8308042136
