date_start,pnl
2021-01-04 00:00:00,291264.0979135564
2021-01-05 00:00:00,-411993.8303199067
2021-01-06 00:00:00,521491.6867951669
2021-01-08 00:00:00,62842.63411628307
2021-01-11 00:00:00,-537598.7062168794
2021-01-12 00:00:00,-359059.05784320267
2021-01-13 00:00:00,181132.6897838658
2021-01-14 00:00:00,47895.30725670268
2021-01-15 00:00:00,30290.59373304957
2021-01-18 00:00:00,1157975.3869589714
2021-01-19 00:00:00,1258409.487166846
2021-01-20 00:00:00,1849608.792259631
2021-01-21 00:00:00,1996906.8565119945
2021-01-22 00:00:00,762996.8728368632
2021-01-25 00:00:00,560685.9672308444
2021-01-26 00:00:00,-95365.18586283142
2021-01-27 00:00:00,425928.32168984454
2021-01-28 00:00:00,55602.654784763494
2021-01-29 00:00:00,495429.4811283656
2021-02-01 00:00:00,-775146.1597000011
2021-02-02 00:00:00,-778126.7414936638
2021-02-03 00:00:00,-761870.8419090633
2021-02-04 00:00:00,-813432.4825266631
2021-02-05 00:00:00,-580820.8897698702
2021-02-08 00:00:00,-407228.0802900971
2021-02-09 00:00:00,-321250.5785892036
2021-02-10 00:00:00,57676.90772715151
2021-02-11 00:00:00,-563816.978590518
2021-02-12 00:00:00,-73631.45677198815
2021-02-15 00:00:00,705547.1684657352
2021-02-16 00:00:00,657378.0845259727
2021-02-17 00:00:00,297787.5205386232
2021-02-18 00:00:00,274170.68019192945
2021-02-19 00:00:00,412393.3534174335
2021-02-22 00:00:00,552141.8921319405
2021-02-24 00:00:00,606448.8714300572
2021-02-25 00:00:00,504581.5776275057
2021-02-26 00:00:00,-403321.1041238439
2021-03-01 00:00:00,159355.4254413075
2021-03-02 00:00:00,-168980.20409095197
2021-03-03 00:00:00,356673.3422066606
2021-03-04 00:00:00,255657.824008908
2021-03-05 00:00:00,-185437.48743016343
2021-03-09 00:00:00,-485411.8953781159
2021-03-10 00:00:00,-314600.72475927154
2021-03-11 00:00:00,-448431.15996674163
2021-03-12 00:00:00,-355152.59200582036
2021-03-15 00:00:00,711694.5718322254
2021-03-16 00:00:00,1406265.7675176999
2021-03-17 00:00:00,1132770.7043410977
2021-03-18 00:00:00,907406.6678607751
2021-03-19 00:00:00,1933889.3079132054
2021-03-22 00:00:00,1592135.9177709757
2021-03-23 00:00:00,763459.7546006279
2021-03-24 00:00:00,-301620.5354458293
2021-03-25 00:00:00,-376315.3581854672
2021-03-26 00:00:00,-85327.47507816556
2021-03-29 00:00:00,620100.2504752444
2021-03-30 00:00:00,794135.3441179184
2021-03-31 00:00:00,510949.90571985755
2021-04-01 00:00:00,753465.52957611
