iter	Passed	Remaining
417	3015	69127
418	3025	69174
419	3033	69181
420	3040	69171
421	3046	69149
422	3053	69135
423	3060	69129
424	3068	69134
425	3076	69137
426	3084	69143
427	3091	69139
428	3098	69130
429	3105	69109
430	3113	69114
431	3120	69111
432	3127	69098
433	3134	69085
434	3141	69073
435	3148	69070
436	3155	69059
437	3163	69053
438	3170	69040
439	3176	69027
440	3183	69005
441	3190	68992
442	3198	68997
443	3205	68997
444	3213	68989
445	3220	68993
446	3227	68983
447	3234	68972
448	3241	68941
449	3248	68944
450	3255	68924
451	3262	68912
452	3269	68905
453	3276	68896
454	3283	68890
455	3291	68881
456	3299	68889
457	3306	68887
458	3314	68892
459	3322	68898
460	3329	68898
461	3336	68880
462	3343	68860
463	3351	68874
464	3358	68874
465	3366	68883
466	3374	68888
467	3382	68893
468	3389	68885
469	3397	68886
470	3405	68892
471	3411	68868
472	3418	68857
473	3426	68854
474	3432	68839
475	3441	68867
476	3450	68888
477	3458	68885
478	3466	68908
479	3475	68937
480	3484	68953
481	3492	68966
482	3500	68980
483	3509	69009
484	3517	69008
485	3526	69025
486	3533	69030
487	3542	69051
488	3551	69074
489	3562	69137
490	3572	69193
491	3581	69216
492	3589	69219
493	3596	69214
494	3604	69210
495	3612	69219
496	3618	69193
497	3625	69177
498	3633	69172
499	3640	69167
500	3646	69138
501	3653	69132
502	3661	69129
503	3669	69129
504	3676	69117
505	3687	69183
506	3694	69183
507	3702	69178
508	3710	69178
509	3717	69174
510	3725	69183
511	3733	69177
512	3739	69162
513	3747	69159
514	3754	69145
515	3761	69142
516	3768	69115
517	3775	69117
518	3783	69107
519	3790	69099
520	3797	69084
521	3804	69077
522	3812	69081
523	3819	69075
524	3827	69084
525	3835	69078
526	3842	69072
527	3850	69066
528	3857	69055
529	3864	69044
530	3870	69023
531	3878	69020
532	3886	69022
533	3894	69030
534	3900	69009
535	3907	69001
536	3915	68993
537	3922	68979
538	3929	68966
539	3935	68947
540	3943	68952
541	3950	68933
542	3958	68938
543	3965	68936
544	3973	68937
545	3981	68933
546	3989	68944
547	3996	68938
548	4003	68925
549	4011	68926
550	4018	68913
551	4027	68929
552	4035	68935
553	4043	68936
554	4050	68933
555	4058	68929
556	4064	68914
557	4072	68906
558	4079	68893
559	4086	68887
560	4093	68879
561	4100	68869
562	4109	68875
563	4115	68860
564	4123	68856
565	4130	68843
566	4137	68836
567	4144	68823
568	4150	68793
569	4157	68778
570	4163	68759
571	4171	68761
572	4179	68759
573	4186	68748
574	4193	68741
575	4200	68725
576	4207	68716
577	4214	68697
578	4221	68680
579	4228	68678
580	4235	68670
581	4242	68658
582	4249	68640
583	4256	68630
584	4263	68611
585	4269	68584
586	4276	68580
587	4284	68580
588	4292	68580
589	4299	68565
590	4306	68563
591	4313	68557
592	4321	68550
593	4328	68546
594	4335	68533
595	4343	68534
596	4350	68527
597	4358	68525
598	4364	68503
599	4372	68497
600	4379	68486
601	4386	68477
602	4393	68461
603	4400	68460
604	4408	68455
605	4414	68437
606	4423	68445
607	4430	68436
608	4439	68452
609	4448	68483
610	4458	68510
611	4466	68515
612	4475	68528
613	4483	68530
614	4491	68548
615	4500	68560
616	4510	68588
617	4519	68607
618	4527	68613
619	4535	68613
620	4543	68627
621	4552	68641
622	4560	68647
